,Date,Cas,Nouveaux_Cas,Nouveaux_Cas_lisse
0,2020-01-24,2.0,2.0,0.0
1,2020-01-25,3.0,1.0,0.0
2,2020-01-26,3.0,0.0,0.0
3,2020-01-27,3.0,0.0,0.0
4,2020-01-28,4.0,1.0,0.0
5,2020-01-29,5.0,1.0,0.714
6,2020-01-30,5.0,0.0,0.714
7,2020-01-31,5.0,0.0,0.429
8,2020-02-01,6.0,1.0,0.429
9,2020-02-02,6.0,0.0,0.429
10,2020-02-03,6.0,0.0,0.429
11,2020-02-04,6.0,0.0,0.286
12,2020-02-05,6.0,0.0,0.143
13,2020-02-06,6.0,0.0,0.143
14,2020-02-07,6.0,0.0,0.143
15,2020-02-08,11.0,5.0,0.714
16,2020-02-09,11.0,0.0,0.714
17,2020-02-10,11.0,0.0,0.714
18,2020-02-11,11.0,0.0,0.714
19,2020-02-12,11.0,0.0,0.714
20,2020-02-13,11.0,0.0,0.714
21,2020-02-14,11.0,0.0,0.714
22,2020-02-15,12.0,1.0,0.143
23,2020-02-16,12.0,0.0,0.143
24,2020-02-17,12.0,0.0,0.143
25,2020-02-18,12.0,0.0,0.143
26,2020-02-19,12.0,0.0,0.143
27,2020-02-20,12.0,0.0,0.143
28,2020-02-21,12.0,0.0,0.143
29,2020-02-22,12.0,0.0,0.0
30,2020-02-23,12.0,0.0,0.0
31,2020-02-24,12.0,0.0,0.0
32,2020-02-25,14.0,2.0,0.286
33,2020-02-26,18.0,4.0,0.857
34,2020-02-27,38.0,20.0,3.714
35,2020-02-28,57.0,19.0,6.429
36,2020-02-29,100.0,43.0,12.571
37,2020-03-01,130.0,30.0,16.857
38,2020-03-02,191.0,61.0,25.571
39,2020-03-03,212.0,21.0,28.286
40,2020-03-04,288.0,76.0,38.571
41,2020-03-05,426.0,138.0,55.429
42,2020-03-06,616.0,190.0,79.857
43,2020-03-07,948.0,332.0,121.143
44,2020-03-08,1125.0,177.0,142.143
45,2020-03-09,1411.0,286.0,174.286
46,2020-03-10,1783.0,372.0,224.429
47,2020-03-11,2293.0,510.0,286.429
48,2020-03-12,2293.0,0.0,266.714
49,2020-03-13,3681.0,1388.0,437.857
50,2020-03-14,4496.0,815.0,506.857
51,2020-03-15,4532.0,36.0,486.714
52,2020-03-16,6683.0,2151.0,753.143
53,2020-03-17,7715.0,1032.0,847.429
54,2020-03-18,9124.0,1409.0,975.857
55,2020-03-19,10970.0,1846.0,1239.571
56,2020-03-20,12758.0,1788.0,1296.714
57,2020-03-21,14463.0,1705.0,1423.857
58,2020-03-22,16761.0,2298.0,1747.0
59,2020-03-23,20120.0,3359.0,1919.571
60,2020-03-24,22372.0,2252.0,2093.857
61,2020-03-25,25331.0,2959.0,2315.286
62,2020-03-26,29252.0,3921.0,2611.714
63,2020-03-27,33045.0,3793.0,2898.143
64,2020-03-28,37693.0,4648.0,3318.571
65,2020-03-29,40296.0,2603.0,3362.143
66,2020-03-30,44645.0,4349.0,3503.571
67,2020-03-31,52281.0,7636.0,4272.714
68,2020-04-01,57125.0,4844.0,4542.0
69,2020-04-02,59227.0,2102.0,4282.143
70,2020-04-03,64452.0,5225.0,4486.714
71,2020-04-04,47376.0,-17076.0,1383.286
72,2020-04-05,48225.0,849.0,1011.429
73,2020-04-06,50884.0,2659.0,770.0
74,2020-04-07,47395.0,-3489.0,-819.286
75,2020-04-08,51250.0,3855.0,-960.571
76,2020-04-09,55034.0,3784.0,-720.286
77,2020-04-10,56600.0,1566.0,-1243.0
78,2020-04-11,58045.0,1445.0,1402.857
79,2020-04-12,108792.0,50747.0,8652.429
80,2020-04-13,111933.0,3141.0,8721.286
81,2020-04-14,129381.0,17448.0,11712.286
82,2020-04-15,132588.0,3207.0,11619.714
83,2020-04-16,145166.0,12578.0,12876.0
84,2020-04-17,147057.0,1891.0,12922.429
85,2020-04-18,150861.0,3804.0,13259.429
86,2020-04-19,151955.0,1094.0,6166.143
87,2020-04-20,154402.0,2447.0,6067.0
88,2020-04-21,157068.0,2666.0,3955.286
89,2020-04-22,158867.0,1799.0,3754.143
90,2020-04-23,157158.0,-1709.0,1713.143
91,2020-04-24,159969.0,2811.0,1844.571
92,2020-04-25,161647.0,1678.0,1540.857
93,2020-04-26,162280.0,633.0,1475.0
94,2020-04-27,165966.0,3686.0,1652.0
95,2020-04-28,169098.0,3132.0,1718.571
96,2020-04-29,167643.0,-1455.0,1253.714
97,2020-04-30,168861.0,1218.0,1671.857
98,2020-05-01,169387.0,526.0,1345.429
99,2020-05-02,170179.0,792.0,1218.857
100,2020-05-03,170540.0,361.0,1180.0
101,2020-05-04,171102.0,562.0,733.714
102,2020-05-05,172219.0,1117.0,445.857
103,2020-05-06,176355.0,4136.0,1244.571
104,2020-05-07,177096.0,741.0,1176.429
105,2020-05-08,177627.0,531.0,1177.143
106,2020-05-09,178155.0,528.0,1139.429
107,2020-05-10,178404.0,249.0,1123.429
108,2020-05-11,178719.0,315.0,1088.143
109,2020-05-12,179472.0,753.0,1036.143
110,2020-05-13,179993.0,521.0,519.714
111,2020-05-14,180635.0,642.0,505.571
